cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
33,2026-05-26T01:43:14.929791,BASELINE,productcatalogservice,216.89,23.8839,0.0,1
33,2026-05-26T01:43:14.929791,BASELINE,checkoutservice,1825.06,0.2223,0.0,5
33,2026-05-26T01:43:14.929791,BASELINE,cartservice,217.46,4.5887,0.0,1
33,2026-05-26T01:43:14.929791,BASELINE,recommendationservice,781.98,2.9939,0.0,1
34,2026-05-26T01:44:07.055285,BASELINE,frontend,3376.22,4.1665,0.0,5
34,2026-05-26T01:44:07.055285,BASELINE,productcatalogservice,94.12,21.6975,0.0,1
34,2026-05-26T01:44:07.055285,BASELINE,checkoutservice,487.5,0.0497,0.0,4
34,2026-05-26T01:44:07.055285,BASELINE,cartservice,265.54,2.5047,0.0,1
34,2026-05-26T01:44:07.055285,BASELINE,recommendationservice,975.73,1.8235,0.0,2
35,2026-05-26T01:45:39.920520,BASELINE,frontend,4525.12,3.4785,0.0,5
35,2026-05-26T01:45:39.920520,BASELINE,productcatalogservice,218.87,19.8968,0.0,1
35,2026-05-26T01:45:39.920520,BASELINE,checkoutservice,2076.23,0.177,0.0,4
35,2026-05-26T01:45:39.920520,BASELINE,cartservice,245.05,4.1277,0.0,1
35,2026-05-26T01:45:39.920520,BASELINE,recommendationservice,1080.28,2.8961,0.0,2
36,2026-05-26T01:46:49.187448,BASELINE,frontend,4508.21,3.9122,0.0,5
36,2026-05-26T01:46:49.187448,BASELINE,productcatalogservice,294.38,20.5097,0.0,1
36,2026-05-26T01:46:49.187448,BASELINE,checkoutservice,4559.07,0.2018,0.0,4
36,2026-05-26T01:46:49.187448,BASELINE,cartservice,329.93,3.854,0.0,1
36,2026-05-26T01:46:49.187448,BASELINE,recommendationservice,875.5,2.7119,0.0,2
37,2026-05-26T01:47:42.020065,BASELINE,frontend,6851.12,3.4885,0.0,5
37,2026-05-26T01:47:42.020065,BASELINE,productcatalogservice,210.3,19.2328,0.0,1
37,2026-05-26T01:47:42.020065,BASELINE,checkoutservice,2161.78,0.1887,0.0,4
37,2026-05-26T01:47:42.020065,BASELINE,cartservice,270.9,3.4984,0.0,1
37,2026-05-26T01:47:42.020065,BASELINE,recommendationservice,1914.52,2.724,0.0,2
38,2026-05-26T01:48:49.006954,BASELINE,frontend,4305.3,3.972,0.0,5
38,2026-05-26T01:48:49.006954,BASELINE,productcatalogservice,232.26,21.7981,0.0,1
38,2026-05-26T01:48:49.006954,BASELINE,checkoutservice,4375.98,0.1124,0.0,4
38,2026-05-26T01:48:49.006954,BASELINE,cartservice,234.05,3.5916,0.0,1
38,2026-05-26T01:48:49.006954,BASELINE,recommendationservice,914.0,2.6244,0.0,2
39,2026-05-26T01:49:37.775924,BASELINE,frontend,2176.92,4.6492,0.0,5
39,2026-05-26T01:49:37.775924,BASELINE,productcatalogservice,83.59,28.1595,0.0,1
39,2026-05-26T01:49:37.775924,BASELINE,checkoutservice,2349.92,0.1112,0.0,4
39,2026-05-26T01:49:37.775924,BASELINE,cartservice,98.67,4.661,0.0,1
39,2026-05-26T01:49:37.775924,BASELINE,recommendationservice,244.97,3.3285,0.0,2
40,2026-05-26T01:50:38.939964,BASELINE,frontend,8804.68,3.0468,0.0,5
40,2026-05-26T01:50:38.939964,BASELINE,productcatalogservice,495.22,20.6984,0.0,1
40,2026-05-26T01:50:38.939964,BASELINE,checkoutservice,2410.12,0.2545,0.0,4
40,2026-05-26T01:50:38.939964,BASELINE,cartservice,232.4,2.0996,0.0,1
40,2026-05-26T01:50:38.939964,BASELINE,recommendationservice,1996.45,2.1056,0.0,4
41,2026-05-26T01:51:42.328259,FAULT_INJECTION,frontend,4289.71,1.4708,0.0,5
41,2026-05-26T01:51:42.328259,FAULT_INJECTION,productcatalogservice,523.29,13.2411,0.0,1
41,2026-05-26T01:51:42.328259,FAULT_INJECTION,checkoutservice,2425.0,0.106,0.0,5
41,2026-05-26T01:51:42.328259,FAULT_INJECTION,cartservice,780.14,2.3247,0.0,1
41,2026-05-26T01:51:42.328259,FAULT_INJECTION,recommendationservice,2342.25,1.7198,0.0,4
42,2026-05-26T01:52:54.094295,FAULT_INJECTION,frontend,28336.16,0.9631,0.0,5
42,2026-05-26T01:52:54.094295,FAULT_INJECTION,productcatalogservice,4742.22,5.6075,0.0,1
42,2026-05-26T01:52:54.094295,FAULT_INJECTION,checkoutservice,4875.0,0.0377,0.0,5
42,2026-05-26T01:52:54.094295,FAULT_INJECTION,cartservice,94.94,1.0688,0.0,1
42,2026-05-26T01:52:54.094295,FAULT_INJECTION,recommendationservice,4875.0,0.7383,0.0,4
43,2026-05-26T01:53:48.031064,FAULT_INJECTION,frontend,29876.21,0.9113,0.0,5
