cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
9,2026-05-29T02:36:21.154614,BASELINE,checkoutservice,42.5,0.1333,0.0,1
9,2026-05-29T02:36:21.154614,BASELINE,cartservice,4.96,3.6225,0.0,1
9,2026-05-29T02:36:21.154614,BASELINE,recommendationservice,4131.58,2.778,0.0,1
42,2026-05-29T02:36:23.005941,FAULT_INJECTION,frontend,4524.97,3.3114,0.0,1
42,2026-05-29T02:36:23.005941,FAULT_INJECTION,productcatalogservice,1915.16,17.9345,0.0,1
42,2026-05-29T02:36:23.005941,FAULT_INJECTION,checkoutservice,42.5,0.1333,0.0,1
42,2026-05-29T02:36:23.005941,FAULT_INJECTION,cartservice,4.96,3.6225,0.0,1
42,2026-05-29T02:36:23.005941,FAULT_INJECTION,recommendationservice,4131.58,2.778,0.0,1
54,2026-05-29T02:36:45.176938,FAULT_INJECTION,frontend,27518.52,1.3779,0.0,1
54,2026-05-29T02:36:45.176938,FAULT_INJECTION,productcatalogservice,4677.84,6.245,0.0,1
54,2026-05-29T02:36:45.176938,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,1
54,2026-05-29T02:36:45.176938,FAULT_INJECTION,cartservice,6.75,1.089,0.0,1
54,2026-05-29T02:36:45.176938,FAULT_INJECTION,recommendationservice,4875.0,0.7334,0.0,1
10,2026-05-29T02:36:52.228850,BASELINE,frontend,28285.71,1.3334,0.0,1
10,2026-05-29T02:36:52.228850,BASELINE,productcatalogservice,4719.52,6.2004,0.0,1
10,2026-05-29T02:36:52.228850,BASELINE,checkoutservice,nan,0.0,0.0,1
10,2026-05-29T02:36:52.228850,BASELINE,cartservice,6.75,1.089,0.0,1
10,2026-05-29T02:36:52.228850,BASELINE,recommendationservice,4875.0,0.7334,0.0,1
43,2026-05-29T02:36:54.097986,FAULT_INJECTION,frontend,28285.71,1.3334,0.0,1
43,2026-05-29T02:36:54.097986,FAULT_INJECTION,productcatalogservice,4719.52,6.2004,0.0,1
43,2026-05-29T02:36:54.097986,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,1
43,2026-05-29T02:36:54.097986,FAULT_INJECTION,cartservice,6.75,1.089,0.0,1
43,2026-05-29T02:36:54.097986,FAULT_INJECTION,recommendationservice,4875.0,0.7334,0.0,1
55,2026-05-29T02:37:16.360703,FAULT_INJECTION,frontend,28333.33,1.3112,0.0,1
55,2026-05-29T02:37:16.360703,FAULT_INJECTION,productcatalogservice,4727.36,6.1116,0.0,1
55,2026-05-29T02:37:16.360703,FAULT_INJECTION,checkoutservice,9750.0,0.0444,0.0,1
55,2026-05-29T02:37:16.360703,FAULT_INJECTION,cartservice,5.92,1.2001,0.0,1
55,2026-05-29T02:37:16.360703,FAULT_INJECTION,recommendationservice,4875.0,0.8001,0.0,1
11,2026-05-29T02:37:23.401839,BASELINE,frontend,28394.74,1.3557,0.0,1
11,2026-05-29T02:37:23.401839,BASELINE,productcatalogservice,4723.43,6.1559,0.0,1
11,2026-05-29T02:37:23.401839,BASELINE,checkoutservice,9750.0,0.0444,0.0,1
11,2026-05-29T02:37:23.401839,BASELINE,cartservice,5.92,1.2001,0.0,1
11,2026-05-29T02:37:23.401839,BASELINE,recommendationservice,4875.0,0.8001,0.0,1
44,2026-05-29T02:37:25.257682,FAULT_INJECTION,frontend,28394.74,1.3557,0.0,1
44,2026-05-29T02:37:25.257682,FAULT_INJECTION,productcatalogservice,4723.43,6.1559,0.0,1
44,2026-05-29T02:37:25.257682,FAULT_INJECTION,checkoutservice,9750.0,0.0444,0.0,1
44,2026-05-29T02:37:25.257682,FAULT_INJECTION,cartservice,5.92,1.2001,0.0,1
44,2026-05-29T02:37:25.257682,FAULT_INJECTION,recommendationservice,4875.0,0.8001,0.0,1
56,2026-05-29T02:37:47.459973,FAULT_INJECTION,frontend,28700.0,1.1779,0.0,1
56,2026-05-29T02:37:47.459973,FAULT_INJECTION,productcatalogservice,4713.46,6.5344,0.0,1
56,2026-05-29T02:37:47.459973,FAULT_INJECTION,checkoutservice,4875.0,0.0445,0.0,1
56,2026-05-29T02:37:47.459973,FAULT_INJECTION,cartservice,4.98,1.0668,0.0,1
56,2026-05-29T02:37:47.459973,FAULT_INJECTION,recommendationservice,4875.0,0.7779,0.0,1
12,2026-05-29T02:37:54.631418,BASELINE,frontend,28700.0,1.1779,0.0,1
12,2026-05-29T02:37:54.631418,BASELINE,productcatalogservice,4714.43,6.5787,0.0,1
12,2026-05-29T02:37:54.631418,BASELINE,checkoutservice,4875.0,0.0445,0.0,1
12,2026-05-29T02:37:54.631418,BASELINE,cartservice,4.98,1.0668,0.0,1
12,2026-05-29T02:37:54.631418,BASELINE,recommendationservice,4875.0,0.7779,0.0,1
45,2026-05-29T02:37:56.415779,FAULT_INJECTION,frontend,28666.67,1.1112,0.0,1
45,2026-05-29T02:37:56.415779,FAULT_INJECTION,productcatalogservice,4714.15,6.7119,0.0,1
45,2026-05-29T02:37:56.415779,FAULT_INJECTION,checkoutservice,26999.96,0.0667,0.0,1
45,2026-05-29T02:37:56.415779,FAULT_INJECTION,cartservice,4.96,1.0001,0.0,1
45,2026-05-29T02:37:56.415779,FAULT_INJECTION,recommendationservice,4875.0,0.8001,0.0,1
57,2026-05-29T02:38:18.661345,FAULT_INJECTION,frontend,29736.84,1.0889,0.0,1
57,2026-05-29T02:38:18.661345,FAULT_INJECTION,productcatalogservice,4720.41,6.5338,0.0,1
57,2026-05-29T02:38:18.661345,FAULT_INJECTION,checkoutservice,28000.0,0.0889,0.0,1
57,2026-05-29T02:38:18.661345,FAULT_INJECTION,cartservice,4.94,1.1112,0.0,1
57,2026-05-29T02:38:18.661345,FAULT_INJECTION,recommendationservice,4875.0,0.8667,0.0,1
13,2026-05-29T02:38:25.780273,BASELINE,frontend,29736.84,1.0889,0.0,1
13,2026-05-29T02:38:25.780273,BASELINE,productcatalogservice,4717.57,6.5334,0.0,1
13,2026-05-29T02:38:25.780273,BASELINE,checkoutservice,28000.0,0.0889,0.0,1
13,2026-05-29T02:38:25.780273,BASELINE,cartservice,4.94,1.1112,0.0,1
13,2026-05-29T02:38:25.780273,BASELINE,recommendationservice,4875.0,0.8667,0.0,1
46,2026-05-29T02:38:27.540595,FAULT_INJECTION,frontend,29789.47,1.0444,0.0,1
46,2026-05-29T02:38:27.540595,FAULT_INJECTION,productcatalogservice,4717.8,6.4887,0.0,1
46,2026-05-29T02:38:27.540595,FAULT_INJECTION,checkoutservice,28000.0,0.0889,0.0,1
46,2026-05-29T02:38:27.540595,FAULT_INJECTION,cartservice,4.96,1.1111,0.0,1
46,2026-05-29T02:38:27.540595,FAULT_INJECTION,recommendationservice,4875.0,0.8666,0.0,1
58,2026-05-29T02:38:49.776317,FAULT_INJECTION,frontend,29918.92,0.9334,0.0,5
58,2026-05-29T02:38:49.776317,FAULT_INJECTION,productcatalogservice,4705.51,6.1335,0.0,5
58,2026-05-29T02:38:49.776317,FAULT_INJECTION,checkoutservice,9750.0,0.0444,0.0,5
58,2026-05-29T02:38:49.776317,FAULT_INJECTION,cartservice,4.9,0.8889,0.0,1
58,2026-05-29T02:38:49.776317,FAULT_INJECTION,recommendationservice,4875.0,0.7778,0.0,5
14,2026-05-29T02:38:56.849268,BASELINE,frontend,29428.56,0.8889,0.0,5
14,2026-05-29T02:38:56.849268,BASELINE,productcatalogservice,4709.06,5.867,0.0,5
14,2026-05-29T02:38:56.849268,BASELINE,checkoutservice,9750.0,0.0444,0.0,5
14,2026-05-29T02:38:56.849268,BASELINE,cartservice,5.37,0.8223,0.0,1
14,2026-05-29T02:38:56.849268,BASELINE,recommendationservice,4875.0,0.7778,0.0,5
47,2026-05-29T02:38:58.612483,FAULT_INJECTION,frontend,29428.56,0.8889,0.0,5
47,2026-05-29T02:38:58.612483,FAULT_INJECTION,productcatalogservice,4709.06,5.867,0.0,5
47,2026-05-29T02:38:58.612483,FAULT_INJECTION,checkoutservice,9750.0,0.0444,0.0,5
47,2026-05-29T02:38:58.612483,FAULT_INJECTION,cartservice,5.38,0.8223,0.0,1
47,2026-05-29T02:38:58.612483,FAULT_INJECTION,recommendationservice,4875.0,0.7778,0.0,5
59,2026-05-29T02:39:20.861580,FAULT_INJECTION,frontend,28687.5,0.9112,0.0,5
59,2026-05-29T02:39:20.861580,FAULT_INJECTION,productcatalogservice,4676.23,4.958,0.0,5
59,2026-05-29T02:39:20.861580,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,5
59,2026-05-29T02:39:20.861580,FAULT_INJECTION,cartservice,5.17,0.805,0.0,1
59,2026-05-29T02:39:20.861580,FAULT_INJECTION,recommendationservice,4978.26,0.5111,0.0,5
15,2026-05-29T02:39:27.937819,BASELINE,frontend,28678.57,0.8,0.0,5
15,2026-05-29T02:39:27.937819,BASELINE,productcatalogservice,4686.98,4.9913,0.0,5
15,2026-05-29T02:39:27.937819,BASELINE,checkoutservice,nan,0.0,0.0,5
15,2026-05-29T02:39:27.937819,BASELINE,cartservice,6.25,0.8398,0.0,1
15,2026-05-29T02:39:27.937819,BASELINE,recommendationservice,22721.69,0.4445,0.0,5
48,2026-05-29T02:39:29.763241,FAULT_INJECTION,frontend,28678.57,0.8,0.0,5
48,2026-05-29T02:39:29.763241,FAULT_INJECTION,productcatalogservice,4689.11,5.0337,0.0,5
48,2026-05-29T02:39:29.763241,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,5
48,2026-05-29T02:39:29.763241,FAULT_INJECTION,cartservice,6.34,0.848,0.0,1
48,2026-05-29T02:39:29.763241,FAULT_INJECTION,recommendationservice,22916.16,0.4445,0.0,5
60,2026-05-29T02:39:51.914028,FAULT_INJECTION,frontend,29803.94,1.064,0.0,5
60,2026-05-29T02:39:51.914028,FAULT_INJECTION,productcatalogservice,4699.81,5.3122,0.0,5
60,2026-05-29T02:39:51.914028,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,5
60,2026-05-29T02:39:51.914028,FAULT_INJECTION,cartservice,4.94,0.9857,0.0,1
60,2026-05-29T02:39:51.914028,FAULT_INJECTION,recommendationservice,24034.6,0.4563,0.0,5
61,2026-05-29T02:39:53.238590,RECOVERY,frontend,29780.99,1.0524,0.0,5
61,2026-05-29T02:39:53.238590,RECOVERY,productcatalogservice,4700.99,5.3598,0.0,5
61,2026-05-29T02:39:53.238590,RECOVERY,checkoutservice,nan,0.0,0.0,5
61,2026-05-29T02:39:53.238590,RECOVERY,cartservice,4.94,1.0115,0.0,1
61,2026-05-29T02:39:53.238590,RECOVERY,recommendationservice,23358.6,0.4657,0.0,5
16,2026-05-29T02:39:59.004378,BASELINE,frontend,29859.48,1.0465,0.0,5
16,2026-05-29T02:39:59.004378,BASELINE,productcatalogservice,4683.37,5.6499,0.0,5
16,2026-05-29T02:39:59.004378,BASELINE,checkoutservice,nan,0.0,0.0,5
16,2026-05-29T02:39:59.004378,BASELINE,cartservice,4.91,1.2223,0.0,1
16,2026-05-29T02:39:59.004378,BASELINE,recommendationservice,15897.88,0.6418,0.0,5
49,2026-05-29T02:40:00.844280,FAULT_INJECTION,frontend,29843.45,1.0586,0.0,5
49,2026-05-29T02:40:00.844280,FAULT_INJECTION,productcatalogservice,4682.5,5.7759,0.0,5
49,2026-05-29T02:40:00.844280,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,5
49,2026-05-29T02:40:00.844280,FAULT_INJECTION,cartservice,4.89,1.2223,0.0,1
49,2026-05-29T02:40:00.844280,FAULT_INJECTION,recommendationservice,14034.93,0.7295,0.0,5
62,2026-05-29T02:40:25.205303,RECOVERY,frontend,25434.01,3.521,0.0,5
62,2026-05-29T02:40:25.205303,RECOVERY,productcatalogservice,3581.56,18.1623,0.0,5
62,2026-05-29T02:40:25.205303,RECOVERY,checkoutservice,nan,0.0,0.0,5
62,2026-05-29T02:40:25.205303,RECOVERY,cartservice,6.21,2.7336,0.0,1
62,2026-05-29T02:40:25.205303,RECOVERY,recommendationservice,4777.62,2.2088,0.0,5
17,2026-05-29T02:40:30.305411,BASELINE,frontend,23257.55,3.8104,0.0,5
17,2026-05-29T02:40:30.305411,BASELINE,productcatalogservice,2784.18,20.5936,0.0,5
17,2026-05-29T02:40:30.305411,BASELINE,checkoutservice,97.5,0.0444,0.0,5
17,2026-05-29T02:40:30.305411,BASELINE,cartservice,5.0,3.778,0.0,1
17,2026-05-29T02:40:30.305411,BASELINE,recommendationservice,4529.28,2.9757,0.0,5
50,2026-05-29T02:40:32.049230,FAULT_INJECTION,frontend,19605.74,4.6154,0.0,5
50,2026-05-29T02:40:32.049230,FAULT_INJECTION,productcatalogservice,2775.15,20.669,0.0,5
50,2026-05-29T02:40:32.049230,FAULT_INJECTION,checkoutservice,97.5,0.0444,0.0,5
50,2026-05-29T02:40:32.049230,FAULT_INJECTION,cartservice,5.0,3.778,0.0,1
50,2026-05-29T02:40:32.049230,FAULT_INJECTION,recommendationservice,4605.3,2.9814,0.0,5
63,2026-05-29T02:40:56.345871,RECOVERY,frontend,71.03,5.7337,0.0,5
63,2026-05-29T02:40:56.345871,RECOVERY,productcatalogservice,3.79,31.3969,0.0,5
63,2026-05-29T02:40:56.345871,RECOVERY,checkoutservice,97.5,0.0444,0.0,5
63,2026-05-29T02:40:56.345871,RECOVERY,cartservice,4.93,5.2671,0.0,1
63,2026-05-29T02:40:56.345871,RECOVERY,recommendationservice,9.02,4.0891,0.0,5
18,2026-05-29T02:41:01.554529,BASELINE,frontend,55.83,5.5337,0.0,5
18,2026-05-29T02:41:01.554529,BASELINE,productcatalogservice,3.68,31.3969,0.0,5
18,2026-05-29T02:41:01.554529,BASELINE,checkoutservice,96.75,0.0667,0.0,5
18,2026-05-29T02:41:01.554529,BASELINE,cartservice,4.9,5.4668,0.0,1
18,2026-05-29T02:41:01.554529,BASELINE,recommendationservice,7.96,4.0447,0.0,5
51,2026-05-29T02:41:03.262414,FAULT_INJECTION,frontend,55.83,5.5337,0.0,5
51,2026-05-29T02:41:03.262414,FAULT_INJECTION,productcatalogservice,3.66,31.3081,0.0,5
51,2026-05-29T02:41:03.262414,FAULT_INJECTION,checkoutservice,96.77,0.0667,0.0,5
51,2026-05-29T02:41:03.262414,FAULT_INJECTION,cartservice,4.9,5.4668,0.0,1
51,2026-05-29T02:41:03.262414,FAULT_INJECTION,recommendationservice,7.81,3.9558,0.0,5
64,2026-05-29T02:41:27.637639,RECOVERY,frontend,50.0,5.2892,0.0,5
64,2026-05-29T02:41:27.637639,RECOVERY,productcatalogservice,3.41,26.5793,0.0,5
64,2026-05-29T02:41:27.637639,RECOVERY,checkoutservice,88.84,0.0701,0.0,5
64,2026-05-29T02:41:27.637639,RECOVERY,cartservice,4.83,4.7335,0.0,1
64,2026-05-29T02:41:27.637639,RECOVERY,recommendationservice,4.97,3.5557,0.0,5
19,2026-05-29T02:41:32.685554,BASELINE,frontend,48.64,5.267,0.0,5
19,2026-05-29T02:41:32.685554,BASELINE,productcatalogservice,3.35,26.4015,0.0,5
19,2026-05-29T02:41:32.685554,BASELINE,checkoutservice,88.38,0.1,0.0,5
19,2026-05-29T02:41:32.685554,BASELINE,cartservice,4.83,4.778,0.0,1
19,2026-05-29T02:41:32.685554,BASELINE,recommendationservice,4.9,3.3557,0.0,5
52,2026-05-29T02:41:34.504085,FAULT_INJECTION,frontend,48.18,5.3559,0.0,5
52,2026-05-29T02:41:34.504085,FAULT_INJECTION,productcatalogservice,3.27,27.0017,0.0,5
52,2026-05-29T02:41:34.504085,FAULT_INJECTION,checkoutservice,91.94,0.1333,0.0,5
52,2026-05-29T02:41:34.504085,FAULT_INJECTION,cartservice,4.83,4.8891,0.0,1
52,2026-05-29T02:41:34.504085,FAULT_INJECTION,recommendationservice,4.9,3.4447,0.0,5
